RotX	RotY	RotZ	X	Y	Z
0.35047038665549135	0.4934376869786188	0.7067345745006033	0.9999779517807228	0.5185712700486484	0.9427531170098192
0.527450973414806	0.5936823175827851	0.13906702914905145	0.5708257973971729	0.2605620176323269	0.27404842679221
0.4338776561656029	0.6537382678940806	0.617329719619644	0.30627564914549543	0.028751621937363137	0.2440465801236763
0.4528310478371793	0.9095154269922683	0.6103628490268846	0.877507924654258	0.5940274431601962	0.4431674360009399
0.32858180876967724	0.9700932119220378	0.4782487095531993	0.3592466881268579	0.9077281976837613	0.8118643591135153
0.5887394715110805	0.5660642343822392	0.49735061846741235	0.09631765224583888	0.6874972146658489	0.37553353714145876
0.017022276385247337	0.7260556872527095	0.1293070124737269	0.7979166408736159	0.25956557625440335	0.586407621340146
0.569764119012666	0.17687017865102783	0.43903734992196475	0.8190376676003631	0.9719797205894927	0.018165086873526137
0.1466541830127922	0.6174395712728543	0.0025131063050649605	0.7579900174323452	0.5830129087841193	0.672864540041511
0.6242408941663337	0.5990137899303929	0.10241239250712186	0.23522474818799377	0.4639174423486503	0.3343904959811964
0.7830605269926757	0.6752730014334624	0.31147037642672415	0.9510892379357336	0.6442419357714808	0.8466251671559423
0.9045852878729909	0.19763325637926965	0.39773119362984655	0.060968957108272215	0.1478211423998027	0.5874662404772718
0.517133204295892	0.43752344205247906	0.7169623896698697	0.26590655390465057	0.4144470974202402	0.9382162707107199
0.5670903363551346	0.6814334990813108	0.7454971686236133	0.4467143435791229	0.43080945391621883	0.47020433726389455
0.8620196996051985	0.3636156156207938	0.8852820636230296	0.0409168324028516	0.2528351598754377	0.8973888178425896
0.9327709877037801	0.20767491859763765	0.21715976367492285	0.7542459125940583	0.36146543942078124	0.20565587861589218
0.2272353924061279	0.30418425833096796	0.8329879457801033	0.4563776588479357	0.12708861207970024	0.37153607779513387
0.3231677929228034	0.07610170408872008	0.8232915357311602	0.7313505482406292	0.4355620985088634	0.7015428561830827
0.33870940871345345	0.9358360142997616	0.5007817163687025	0.11120292457453174	0.47518193428434385	0.3601307939534796
0.03410418998043918	0.34970979761909404	0.9763408177929684	0.2596493653841313	0.7240027708123329	0.15413984555745996
0.1693204844998507	0.29649097016052184	0.014614720515555124	0.48364536416188053	0.9698255037310617	0.2815309114449155
0.6698275620640939	0.8442811144113628	0.9394560179124195	0.02532633220456304	0.8451184246110158	0.08139958627039601
0.3133866714029834	0.7426521103683333	0.3682395866397635	0.05651562509318031	0.7432450113749436	0.5567660756835467
0.4652602412158462	0.4135568891047511	0.6281556708815809	0.9170496212584899	0.42045967095058534	0.3876140806742273
0.36126682956680733	0.19919071480051598	0.8327631978128611	0.23016157765452105	0.554411585465911	0.781341396814989
0.02579448099906001	0.5035141059239047	0.4022183543389827	0.07278304989232875	0.8187243585789759	0.4029862463057321
0.3727027081362557	0.673416842555037	0.44347637284764774	0.3720841154267758	0.5624416130817604	0.3612358113412887
0.7536367849199698	0.7582851937053959	0.755040576337117	0.7903457689795522	0.5434725562463806	0.8200676824471941
0.26848357559923564	0.9143941608352177	0.4020363383929828	0.5302157678808871	0.16624515731612033	0.03504399745847253
0.09175484460432448	0.0021782325955088666	0.7706258117670909	0.7596322224024388	0.41675662449265305	0.6086338598883906
0.15004428264856584	0.8445494834679399	0.6210661075880134	0.35236623536044775	0.8562891173064321	0.7106284804099873
0.41827703548497885	0.36312148540987244	0.20151513124368703	0.17478877130070403	0.45148407639573584	0.36997573339844403
0.061387903029676005	0.3101490324992514	0.13373941274340873	0.8020842826887445	0.47821613698674303	0.1841494189402184
0.16143146799340846	0.8186325613506471	0.5567887460799094	0.5029166929179038	0.44799901634211137	0.7445022908100495
0.5503180383061267	0.11932613890893451	0.06945752761946133	0.2678733327553571	0.9732639930325714	0.08167300339049
0.5379903722625174	0.9208591927772872	0.07685647915872529	0.1902584407232143	0.6209882239396364	0.013831372461680869
0.9262517964239801	0.10736093235439403	0.060426297664411766	0.19222975212350135	0.6103448635397801	0.9410637475902468
0.47907491579296335	0.5352699095170208	0.44308033103083666	0.5363473283730771	0.2693527465590003	0.6949268157229955
0.7099285853633247	0.5208410323043317	0.8595083868750176	0.6607967871652503	0.4934955089422475	0.8421132609864196
0.584320546851955	0.07600243310729549	0.8026081067644807	0.8455903388181225	0.048076096154417436	0.7704158719475585
0.9808588710857735	0.7907331077229514	0.3978794562599788	0.7177293639412117	0.292174220375387	0.6577465844009773
0.5175209486562324	0.662227407428941	0.41383578997582815	0.15416755408644356	0.4210430439060491	0.47740911847182876
